
2024/11/20 (16:56:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/20 (16:56:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/11/20 (17:23:37) | ERROR: Stall in Runner thread, restarting!

2024/11/22 (12:12:05) | ===> btop++ v.1.4.0
2024/11/22 (12:12:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/22 (12:12:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/22 (16:22:36) | ===> btop++ v.1.4.0
2024/11/22 (16:22:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/22 (16:22:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/25 (11:50:39) | ===> btop++ v.1.4.0
2024/11/25 (11:50:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/25 (11:50:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (12:37:50) | ===> btop++ v.1.4.0
2024/12/03 (12:37:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (12:37:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/05 (12:04:08) | ===> btop++ v.1.4.0
2024/12/05 (12:04:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/05 (12:04:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/05 (12:14:52) | ===> btop++ v.1.4.0
2024/12/05 (12:14:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/05 (12:14:52) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/11 (14:36:58) | ERROR: Stall in Runner thread, restarting!

2024/12/11 (15:22:12) | ===> btop++ v.1.4.0
2024/12/11 (15:22:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/11 (15:22:12) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/13 (16:48:40) | ERROR: Stall in Runner thread, restarting!
2024/12/13 (16:49:08) | ERROR: Stall in Runner thread, restarting!

2024/12/16 (12:57:39) | ===> btop++ v.1.4.0
2024/12/16 (12:57:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/16 (12:57:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/16 (16:19:26) | ERROR: Stall in Runner thread, restarting!
2024/12/16 (16:19:42) | ERROR: Stall in Runner thread, restarting!
2024/12/17 (13:10:43) | ERROR: Stall in Runner thread, restarting!
2024/12/17 (13:10:58) | ERROR: Stall in Runner thread, restarting!
2024/12/17 (13:11:19) | ERROR: Stall in Runner thread, restarting!
2024/12/17 (13:11:34) | ERROR: Stall in Runner thread, restarting!
2024/12/17 (13:11:55) | ERROR: Stall in Runner thread, restarting!

2024/12/19 (10:53:24) | ===> btop++ v.1.4.0
2024/12/19 (10:53:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (10:53:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/19 (13:39:26) | ERROR: Stall in Runner thread, restarting!
2024/12/19 (13:40:21) | ERROR: Stall in Runner thread, restarting!

2024/12/19 (16:58:40) | ===> btop++ v.1.4.0
2024/12/19 (16:58:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (16:58:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/20 (13:57:02) | ERROR: Stall in Runner thread, restarting!

2024/12/20 (18:59:34) | ===> btop++ v.1.4.0
2024/12/20 (18:59:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (18:59:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (09:20:05) | ===> btop++ v.1.4.0
2024/12/30 (09:20:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (09:20:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (10:35:58) | ===> btop++ v.1.4.0
2024/12/30 (10:35:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (10:35:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/02 (14:31:25) | ===> btop++ v.1.4.0
2025/01/02 (14:31:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/02 (14:31:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (09:24:59) | ===> btop++ v.1.4.0
2025/01/06 (09:24:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (09:24:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/20 (11:23:04) | ===> btop++ v.1.4.0
2025/01/20 (11:23:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/20 (11:23:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/28 (12:33:19) | ===> btop++ v.1.4.0
2025/01/28 (12:33:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/28 (12:33:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/30 (11:59:16) | ERROR: Stall in Runner thread, restarting!

2025/02/03 (09:13:53) | ===> btop++ v.1.4.0
2025/02/03 (09:13:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/03 (09:13:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/03 (09:15:42) | ===> btop++ v.1.4.0
2025/02/03 (09:15:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/03 (09:15:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/05 (11:42:18) | ===> btop++ v.1.4.0
2025/02/05 (11:42:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (11:42:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (13:35:45) | ===> btop++ v.1.4.0
